"","Labels","Text","Text_Tag"
"2848",1," capandtrade with ","cap-and-trade,climate-change,energy,environment"
"2849",5," by fewer percent florida are ","elections"
"2850",1," teachers not in the core standards ","education"
"2851",0," as senator clinton women than men her ","women"
"2852",0," mark record of against keystone pipeline ","climate-change,energy,voting-record"
"2853",1," this was by obamas advisers was by clintons advisers ","education"
"2854",3," says johnson to medicare a program ","federal-budget,medicare,public-health"
"2855",3," says sanders putting troops syria try the there them on of ","foreign-policy"
"2856",3," barack church a achievement to ","religion"
"2857",0," contains of ","public-health,science"
"2858",5," today import the of than had the senator took ","energy"
"2859",2," are of constitutional with under house and his ","federal-budget,history,pundits"
"2860",2," since texas gained people has 20000 ","population,pundits,states"
"2861",2," said to women coverage as ","health-care,women"
"2862",3," my to florida court and have as most ","legal-issues"
"2863",0," says supported would mother father future birth ","children,gays-and-lesbians,legal-issues"
"2864",0," says the for like in violence because just more into system ","crime,criminal-justice"
"2865",4," is in and is safe of ","public-health"
"2866",5," says terms council are in cities our ","city-government"
"2867",5," tommy is father welfare the wisconsin program wisconsin became for and reforms ","job-accomplishments"
"2868",5," we sell products in to rest the than before ","corrections-and-updates,trade"
"2869",4," theres wildlife the national ","energy,environment"
"2870",3," right in major national and in last six we trump by at larger than clinton ","elections,polls"
"2871",0," i fought our without or ","candidates-biography"
"2872",5," the of and are billion year this ","health-care"
"2873",1," on capandtrade ","cap-and-trade,climate-change,jobs"
"2874",1," the is to georgias ","elections"
"2875",2," says net the in of internet terms and of and be ","government-regulation,technology"
"2876",5," president obama the of drugs nearly million in ","health-care,medicare,message-machine-2012"
"2877",0," the in creation ","economy,florida,jobs"
"2878",2," dollars just 2000 more tripled the 10 ","federal-budget"
"2879",1," says cruz a of people are this and them ","immigration"
"2880",3," our in has 50 faster the gdp since national ","economy"
"2881",1," on he a that to bonuses ","economy"
"2882",4," the and in are the stop from on ","civil-rights,human-rights,legal-issues,pundits,religion,sports"
"2883",2," in on in with own ","candidates-biography,city-budget,city-government,message-machine-2012"
"2884",4," wisconsin machines are they illegal ","elections,legal-issues,technology"
"2885",3," half oregon students on grants ","education,poverty"
"2886",0," says health costs by hospitals adding a to rates ","health-care,public-health,state-budget,state-finances"
"2887",2," million traffic without taxes ","city-budget,city-government,transportation"
"2888",5," countries obama bush ","foreign-policy,military"
"2889",1," us debbie has the for creation ","israel"
"2890",4," a in times that percent army and have suicide ","afghanistan,military"
"2891",0," we property by in state texas been ","new-hampshire-2012,taxes"
"2892",3," says passed state act any state ","immigration"
"2893",5," public commission a that have i on ","government-efficiency"
"2894",0," increasing wage hour reduce on stamps housing other by billion year ","economy,jobs"
"2895",2," says have in in last ","public-safety"
"2896",0," us west to back ","candidates-biography,federal-budget,trade"
"2897",0," almost people day to because are free than are some states ","economy,population"
"2898",3," texas 49th perpupil among states ","education,state-budget,state-finances,states"
"2899",3," the times that had previous had on cuts ","federal-budget"
"2900",2," in the still been the is ","infrastructure,public-health,urban,water"
"2901",5," in we the to the state the to for produce and gas ","energy,states"
"2902",2," donald decision the debate is unprecedented ","debates"
"2903",1," the is in position vice was against bush before election 2000 ","elections"
"2904",3," weve twice many weve a share the vote ","elections"
"2905",1," health reform it going raise raise and the of care ","health-care"
"2906",0," the of almost percent its you how the of 5 and not we ","city-budget,city-government,water"
"2907",1," since the states trillions the rate ","federal-budget,history,poverty,pundits"
"2908",2," it a of more to in than them the of ","criminal-justice,education"
"2909",1," new is only in union less higher than did the of decade ","education,state-finances"
"2910",3," says and romney said we with for afghanistan ","afghanistan,foreign-policy"
"2911",3," says said year absolutely reason texas ","history,states"
"2912",0," says rep used of to ","campaign-finance,ethics"
"2913",0," voted a dollars hour hour his 50 in ","federal-budget,government-efficiency"
"2914",2," while been the raising he shown for ","government-efficiency,job-accomplishments,message-machine-2012,campaign-advertising"
"2915",2," says sanders higher for guns real ","guns,legal-issues,voting-record"
"2916",5," a people year into us no country comes to figure ","immigration"
"2917",2," the of in not obamacare ","corrections-and-updates,health-care,polls,pundits"
"2918",4," the administration supporting in the group became islamic ","foreign-policy,military,terrorism"
"2919",4," said early was help black before into world ","abortion"
"2920",2," to war iraq americans dead wounded more are from health related post ","iraq"
"2921",5," the were charge actually government care the drug ","health-care,medicare,new-hampshire-2012"
"2922",2," says salaries increased other employees left ","education,unions"
"2923",3," in the congress was with all owners medical for in congress to for in congress a that citizens a ","congress,government-regulation,health-care,history,supreme-court"
"2924",0," ken wants and included social ","education"
"2925",1," on transpacific ","trade"
"2926",0," says could expanded the care passed didnt ","florida,health-care,medicaid"
"2927",1," says congressman took in the rate at percent unemployment in county reached percent ","jobs"
"2928",2," hispanic in the of hispanic in united ","diversity,education"
"2929",2," says obama grown government by workers wants more ","federal-budget,jobs"
"2930",3," in jeb was state conducted of before presidential in and a to even voters headed ","diversity,elections"
"2931",4," says sen brown there on of protesters are on and to on cars these on street other ","civil-rights,economy"
"2932",0," president to through budget by but his spending of increasing percent the year ","federal-budget,stimulus"
"2933",4," says nomination defense has publicly by iranian ","foreign-policy,military"
"2934",5," the are of in country ","environment"
"2935",1," says is only that jet from state tax ","state-budget,state-finances,taxes"
"2936",3," says austin council give million year a ","city-budget,city-government,elections,taxes"
"2937",5," says baby county two as to born a who someone used her as the baby in or us ","county-government,public-health,taxes"
"2938",2," obamacare your dollars free to and sex ","health-care"
"2939",2," says took all by commercial were available a of cost ","ethics"
"2940",5," from of county school has in the six ","county-budget,county-government,education,taxes"
"2941",1," on ","bipartisanship,health-care,legal-issues"
"2942",3," every republican of us said will to and obamacare ","health-care"
"2943",1," virginias unemployment is lowest ","economy,jobs"
"2944",3," austin steve his worked for a ","candidates-biography,ethics,legal-issues"
"2945",4," in ri illegal sell and to same on sunday ","legal-issues,pop-culture"
"2946",5," politicians billion education ","education,state-budget,state-finances"
"2947",3," the states million day and that a ","federal-budget,israel"
"2948",1," a colorado literally residents ballots home them turn to ","elections"
"2949",3," georgia lost than jobs the rate increased the passed ","stimulus"
"2950",0," says rep rose 90 with the largest nearly billion government and governmentrun care for ","candidates-biography,health-care,job-accomplishments,message-machine,state-budget,voting-record"
"2951",1," the administration a died ","foreign-policy,history,military"
"2952",3," there no on ","recreation,tourism"
"2953",5," on keystone pipeline ","environment"
"2954",3," 80 of are the wage ","economy,income,labor,polls,poverty,small-business"
"2955",1," california senator said she say and give your im up would ","guns"
"2956",1," says has bush than have obama ","voting-record"
"2957",3," the fast is and fast workers on of assistance ","jobs,workers"
"2958",2," says in last years created jobs all states ","economy,jobs"
"2959",1," by we be much to that will paying the peoples army ","china,deficit,foreign-policy,military"
"2960",4," not kaine willing say hillary ","candidates-biography"
"2961",3," at time medicare was it actually popular the care to polls ","health-care,medicare,polls"
"2962",1," says us has a the three called budget act ","federal-budget"
"2963",1," medicare have and on they with ","health-care,medicare"
"2964",3," huckabee of highest governors we in country bill in of ratings ","taxes"
"2965",3," under were 40 and a ","immigration"
"2966",0," rick got majority the vote florida ","elections,immigration"
"2967",3," recent reports crashes austin 23 since entered ","crime,transportation"
"2968",2," in average percent or ","agriculture,animals,consumer-safety,economy,environment,government-regulation,public-health,science,technology"
"2969",4," obama with ","taxes"
"2970",2," a is abortion ","abortion"
"2971",1," the state a in ","terrorism"
"2972",0," in there been problems with texas law ","elections"
"2973",3," study that 70 of in election have negative to up only percent the period 2008 ","campaign-finance,corporations,elections,campaign-advertising,transparency,unions"
"2974",4," justice off obamas for ","criminal-justice,legal-issues"
"2975",2," all florida millions florida dollars ","state-budget,transportation"
"2976",0," ninety americans arent or looking work ","economy"
"2977",5," the are saying what saying deal and they it be two things ","foreign-policy,nuclear"
"2978",5," the government 77 social programs ","federal-budget,government-efficiency"
"2979",2," to from fund the that by white and democrats be of law ","economy,federal-budget,stimulus"
"2980",0," because holding in congressional hes for the things we all ","congress,debates,redistricting"
"2981",3," weve the by ","debt,deficit,economy,stimulus"
"2982",3," says obama never a that a force in ","foreign-policy,iraq,islam,terrorism"
"2983",5," i every since office ","congressional-rules"
"2984",5," in last years a in of from people to 400000 ","immigration"
"2985",1," says accepted from politician ","campaign-advertising"
"2986",3," palin police because her ","crime"
"2987",0," the of let employees that be fine either or ","financial-regulation"
"2988",0," republican took lead lynch general ","congressional-rules,legal-issues"
"2989",0," its enough stephen in film women from homes to in and to but isnt in that women them his time ","candidates-biography"
"2990",0," says clinton to taxes workers as as ","taxes"
"2991",5," you the rating congress to percent ","ethics"
"2992",2," says santorum planned ","abortion,message-machine-2012"
"2993",0," schools some are up 100 a doing or ","education"
"2994",5," in students math to the ","education,religion"
"2995",5," the states now more as percentage south did ","criminal-justice"
"2996",5," before the of high students the standards the higher stood in and in those stood 65 in ","children,education"
"2997",2," obamas fiscal in spending ","federal-budget"
"2998",2," tommy made from who american and hes to huge on ","corporations,jobs,message-machine-2012,workers"
"2999",1," georgia a for the standard food ","food-safety"
"3000",0," i the to into own care and said was i that contribute own and it ","health-care,labor,state-budget,state-finances"
"3001",3," we created jobs this year the administration in years ","economy,jobs"
"3002",2," i or my i i for that county state ","candidates-biography,ethics"
"3003",1," if to the 18 of that sent the will ","debt,deficit,federal-budget,state-budget,state-finances,states"
"3004",5," in the annual for teacher the public system ","education,labor,state-budget"
"3005",1," says rep budget medicare 10 ","federal-budget,medicare"
"3006",0," says are jobs today barack became ","jobs"
"3007",0," says cory reform voted our ","immigration"
"3008",0," says and its claims ","candidates-biography,crime,criminal-justice"
"3009",3," women 77 for a earns ","jobs,women"
"3010",1," 800 to a because are there drugs ","drugs,welfare"
"3011",0," says romney for from welfare ","welfare"
"3012",1," says supports thousands with and ","environment,housing"
"3013",0," sen cast deciding in for affordable act ","congress,health-care,history,job-accomplishments,public-health,voting-record"
"3014",5," david was state who tough for of violence child ","candidates-biography,children,crime,criminal-justice,families,public-safety,women"
"3015",1," bill sanctuary illegal ","immigration"
"3016",0," says clintons through own by is of clinton were going take donations ","ethics"
"3017",0," we have million a dollars development right in of ","economy"
"3018",2," percent all are by problems ","bankruptcy,health-care"
"3019",0," china made in human that a by the in world ","china,foreign-policy,human-rights"
"3020",4," says states proposal in cabinet the for and services more two ","health-care,state-budget,states"
"3021",3," us have behind counterparts and in and ","education"
"3022",0," not has reported in in than years total six have in last years ","corrections-and-updates,food-safety,public-health"
"3023",3," we of highest per of in state any in union ","economy,poverty"
"3024",5," the platform limits abortion is on exception rape been for than years ","abortion"
"3025",0," says court sotomayor family ","corrections-and-updates,immigration"
"3026",1," under new law cant someone status they they something ","immigration,legal-issues"
"3027",2," mitt a of medicare ","message-machine-2012"
"3028",3," california steve a gave to effort 2000 ","campaign-finance,candidates-biography,elections,message-machine"
"3029",2," just this health bill 30 people health that there ","health-care"
"3030",5," uses of couple marriage the is of couple ","gays-and-lesbians"
"3031",1," every we the wage number people ","economy,jobs,workers"
"3032",5," trump was with against and law ","candidates-biography,civil-rights,housing,legal-issues"
"3033",2," china or will the nation the ","china,foreign-policy,new-hampshire-2012"
"3034",5," the park has annual that less the of ","city-budget,city-government,federal-budget,recreation"
"3035",5," it that is to a on football we public supply electricity ","city-budget,energy,infrastructure"
"3036",0," congressman agreed illegal be arrested deported ","immigration"
"3037",5," in more were with or or and than any of ","guns"
"3038",1," as kaine a in a ","immigration"
"3039",3," says gov provides state for ","housing,state-budget"
"3040",1," virginias of from is law ","civil-rights,history"
"3041",1," weve by the record in gop primary ","elections"
"3042",1," only of minimum workers are or person ","economy"
"3043",2," says that the agenda religious to those have be ","religion,women"
"3044",5," sanders his on for manufacturers ","guns,legal-issues"
"3045",3," theres a bill know name it ","job-accomplishments"
"3046",5," the economic has to than tax and budget in every in nation wisconsin ","state-budget,state-finances,states"
"3047",1," says are to this and the to rates ","water"
"3048",0," says irs have be to obamacare at tax ","health-care"
"3049",0," as senator clinton paid a less men ","candidates-biography,women"
"3050",4," to reports group death under ordered first ","health-care"
"3051",2," weve now billion iran in terms trillion ","foreign-policy"
"3052",3," my the quarter the on of republican the million the million than jeb ","campaign-finance"
"3053",3," i a record the ","guns"
"3054",5," says fought billion cuts public since ","education"
"3055",5," we into white we the net of family harry ","wealth"
"3056",1," say restrictions selling on will in traffic and ","Alcohol"
"3057",3," says christie the taxes and worst in region ","jobs,taxes"
"3058",1," right the party higher the and democrats ","elections,pundits"
"3059",3," every the guard saves lives the ","public-safety"
"3060",2," says even his is schools the program be half perpupil that schools ","education,state-budget,taxes"
"3061",3," for job in mark largest job weve in month september more a ","jobs"
"3062",0," to million now a ","health-care,public-health"
"3063",4," says former of republic the people a of for barack ","foreign-policy"
"3064",3," we able million of tax ","state-budget,taxes"
"3065",0," says obama our to levels ","federal-budget,military"
"3066",2," medicare just good not at people as advantage ","health-care,medicare"
"3067",3," our household in was highest the ","census,economy,families"
"3068",4," its that voters responsible obamas victory north ","crime,elections,immigration,states"
"3069",5," the show 40 on row had of and only governors on death to the ","criminal-justice"
"3070",2," for first in years dependence foreign is 50 ","energy,ethics,job-accomplishments,message-machine-2012"
"3071",1," if give to you get of free proposition if a shooting get of free proposition if guns a you get of free ","crime,criminal-justice"
"3072",0," murphy two homes the ","candidates-biography"
"3073",5," i the of seven seven that wouldnt up united sen had opportunity that he not ","candidates-biography"
"3074",1," gov deal taken least from businesses employees ","campaign-finance"
"3075",5," a using reported had fire his and his phone ","crime,criminal-justice,drugs"
"3076",5," a today pay in medicare and in medicare bucks benefits every in ","deficit,federal-budget,medicare"
"3077",2," rick to the rainy fund ","state-budget,state-finances"
"3078",4," the health plan a takeover our programs ","health-care"
"3079",1," says walker he ban cell ","message-machine"
"3080",3," for first in wisconsin more jobs manufacturing ","jobs,message-machine"
"3081",5," the 10 in a million 2010 the american wage just percent ","corporations,economy,families,income"
"3082",2," a from rep to the ability national and background on immigrants ","immigration,terrorism"
"3083",1," 10 earlier the population ","labor,public-service,retirement,state-finances"
"3084",3," owns percent the oil 25 of ","energy"
"3085",2," cant on in united without doing background on ","guns"
"3086",3," four of citizens black but are percent murder ","census,crime,legal-issues,pundits"
"3087",2," the government put irs in of president health bill ","federal-budget,government-efficiency,health-care,taxes"
"3088",1," suicide from government saying are worth but are to something nothing ","diversity,public-health"
"3089",5," we had of house the two and been we sessions and 49 ","government-efficiency"
"3090",3," this made as least most congress the of nation ","congress,polls"
"3091",3," to agreement could in florida in year 15000 years ","jobs,trade"
"3092",2," we cant to 100 of employee ","labor,state-finances,unions"
"3093",2," university texas a the right babies to ","abortion,crime,criminal-justice,education"
"3094",0," i of management to ","government-efficiency,state-budget"
"3095",3," weve in last years trillion debt the ","federal-budget"
"3096",1," the arms our to and arms ","guns"
"3097",0," teachers not able to raising ","education,families"
"3098",5," says gingrich with pelosi ","climate-change,environment,message-machine-2012"
"3099",1," the holiday is of ","religion"
"3100",1," the that scott for as would if this a who ","candidates-biography,health-care"
"3101",4," under walker up to ","corporations,economy,job-accomplishments,jobs"
"3102",3," if have job this theres 97 chance youre going be poverty ","economy,poverty,workers"
"3103",3," to us percent hispanic voters texas 86 of american voters in ","civil-rights,elections,legal-issues"
"3104",3," wisconsins budget almost as per as state of and billions tax wisconsins families businesses subject a tax ","state-budget,taxes"
"3105",4," says in womens to the who ","civil-rights"
"3106",4," email that clinton ","economy"
"3107",1," says was to that wealthiest they the in 50 of dont pay income ","taxes"
"3108",3," the who president obama are white all and what in right of republican ","polls"
"3109",2," says has that are and ","campaign-advertising"
"3110",5," years the of six banks this 17 of the of six banks the states total percent gdp ","economy,financial-regulation,market-regulation,abc-news-week"
"3111",0," ronald in to economic less 1 a theres other period thats thats from to ","economy,history,jobs"
"3112",5," for first in two we more in united than from rest the ","economy,energy,trade"
"3113",1," the of coming the schools wisconsin people fouryear ","education,jobs"
"3114",1," got oil the 30 ","energy,environment,oil-spill,pundits,abc-news-week"
"3115",1," louisiana not single from oil ","energy,environment,federal-budget,oil-spill"
"3116",3," weve our of in every of union since oil of ","energy"
"3117",1," for first in a will not a plan ","health-care"
"3118",0," american amount a ","education"
"3119",3," louisiana million would us change unemployment that have taxes louisiana ","economy,stimulus,taxes"
"3120",1," says lived a while as farm ","candidates-biography,immigration,poverty"
"3121",3," the 40 this prison has by percent ","crime,criminal-justice"
"3122",0," while obama all are the for a iran says is a responsible ","foreign-policy,israel,military"
"3123",4," bernie plan to your to percent ","taxes"
"3124",5," says feingold his to get majority funding wisconsin ","campaign-finance"
"3125",5," even general is strong she said we in workers system the 1 pushing manufacturing of ","jobs"
"3126",2," we have in united ","infrastructure"
"3127",3," more is within department homeland to change whats terrorists the in united of ","climate-change,homeland-security,terrorism"
"3128",5," says franklin roosevelt there a in public to collective because government the ","federal-budget,labor,state-budget,states,unions"
"3129",0," every you ticket government a on ","homeland-security,terrorism,transportation"
"3130",1," we be first to a to ","candidates-biography,elections,history"
"3131",0," says is of from street a dollars of leaders the states i any street at ","campaign-finance,message-machine-2012"
"3132",3," in first to of in you million because is little million ","military"
"3133",3," in past dekalb and more jobs ","economy,jobs"
"3134",5," two wrote secretary i to reserve and them is we to with ","economy"
"3135",3," manufacturing its employment in 15 ","economy,history,abc-news-week"
"3136",5," georgia no in rate women by ","crime,guns,women"
"3137",4," ownership by while in island by percent ","public-health"
"3138",3," gave campaigns dollars five helping ","bipartisanship,candidates-biography,message-machine"
"3139",3," a man hate still up work and his fire because is ","florida,gays-and-lesbians,human-rights,states,workers"
"3140",5," says charlie has him star ","bipartisanship"
"3141",0," says rep took and half to college ","candidates-biography,education"
"3142",4," portland to ","diversity,education"
"3143",2," says jersey folks from york ","pop-culture"
"3144",4," says charlie and island of with from which ","health-care,public-health,science"
"3145",5," says voted against proposal background to online to shows purchase without checks ","guns,voting-record"
"3146",0," government make percent in and than workers ","government-efficiency,labor,unions"
"3147",3," has 60000 new since office ","economy,jobs"
"3148",5," i the from duty and personnel ","ethics"
"3149",5," in schools not have teach education ","education"
"3150",1," terry in away millions the of ","candidates-biography,wealth"
"3151",0," historically social tax been on 90 us now 83 theres such growth income the earners ","debt,federal-budget,history,social-security,taxes,wealth"
"3152",1," phoenix the capital the ","crime,immigration"
"3153",4," statistics you nine more to by driver austin a for ","crime,transportation"
"3154",5," a ago march i for to in subprime and laid proposals how ","economy"
"3155",3," while the barack passed people welfare jobs ","poverty,workers"
"3156",1," gov mcauliffe made that would to in cabinet position the administration ","elections"
"3157",0," very of defense less 10 actually into isis international ","federal-budget,military"
"3158",5," says us of security report 100 committees ","homeland-security,terrorism"
"3159",3," every now in thats i thats my owe they to thats to government now ","debt,deficit"
"3160",2," the john has privatizing security we he on ","social-security"
"3161",2," says by rick administration teachers a ","education,state-budget"
"3162",5," says claim he a the is lie ","guns"
"3163",2," for with the of health law that is and than was full thats they have anything ","health-care"
"3164",0," independent behind candidates front for companies ","campaign-finance,abc-news-week"
"3165",0," says trump agenda there privatize veterans care ","health-care,veterans"
"3166",5," marco of tax offices building ","candidates-biography"
"3167",1," there in that among most in world to like or the numbers worse ","crime"
"3168",3," says state were on on on kind the of ","economy,marriage,pop-culture,state-budget,state-finances"
"3169",4," congressman voted social ","social-security"
"3170",1," bushs cuts high have the to budget ","federal-budget"
"3171",1," president lawsuit it unconstitutional ohio allow and early the early period ","elections"
"3172",0," all the as as know what did health those available ","health-care"
"3173",3," is 1 unemployment crime and ","crime,economy,gambling"
"3174",1," says mandate 71 that body be with for ","children,public-health"
"3175",5," floridas school rate well the average ","education"
"3176",2," says state voted raise on workers a get health ","health-care,message-machine,taxes"
"3177",0," under scott wisconsin a billion surplus it to a of billion ","candidates-biography,deficit,state-budget,state-finances,taxes"
"3178",5," im only who gotten in presidential from labor ","elections"
"3179",1," would to at schools ","education"
"3180",3," never did house actually spending reduce state even they taxes they spending never for tax ","state-budget,taxes"
"3181",2," says mayor and mayoral both cars taxpayer ","candidates-biography"
"3182",1," on for ","candidates-biography,elections"
"3183",4," i the who in the or republican who from very that will raise on middle ","income,taxes"
"3184",3," twenty of electricity comes nuclear i there in united two them the in ","energy,environment"
"3185",3," the countries some the countries meet ","foreign-policy"
"3186",1," tells cicilline percent the emissions you want get of caused ","cap-and-trade,climate-change,energy,environment,science"
"3187",1," sen voted reform hispanic people legally work ","immigration,message-machine"
"3188",0," senator has most record the states ","candidates-biography"
"3189",3," says school will the school left the to the 10 in school ","unions,workers"
"3190",1," the growth that had the two in is growth ","economy,jobs"
"3191",2," who raising minimum actually more half fulltime average is years ","economy,jobs"
"3192",3," fifty of class the will marijuana have illegal ","drugs,marijuana"
"3193",3," taxpayers paying fortune the of force on by barack and clinton ","campaign-finance,elections,government-regulation,history,taxes,transparency"
"3194",1," as been by bill former of my does than to costs ","health-care"
"3195",2," the option not with its with premiums ","abortion,health-care"
"3196",5," states georgia included have rather elected school ","education"
"3197",1," its nobody stop ","federal-budget,infrastructure,transportation"
"3198",1," on us saves lives between and and the of career ","animals,military"
"3199",3," had online of been place 2008 estimated voters cast ballots have address and a ballot ","elections"
"3200",5," tourism for jobs the of and billion ","economy,jobs,tourism"
"3201",5," says stamp while the in ","economy,poverty"
"3202",5," the of nearly people in 12 ","public-safety,public-service"
"3203",3," i a conservative record ","candidates-biography,voting-record"
"3204",5," women oregon paid cents every paid men the gap a woman oregon have for gallons gas more of for family nearly more of ","economy,families,income"
"3205",1," gotten the that did you gotten some the ever of obama you ","candidates-biography"
"3206",2," for a gets taxes new it us to percent to services ","florida-amendments"
"3207",0," more to are to than other in ","census,population"
"3208",3," for whos to the and seen signs say have stop are the that a that passed ","florida,states"
"3209",5," polls that percent new and percent households the support background to guns from who have ","guns"
"3210",2," people day to which there be million people the 25 ","corrections-and-updates,population,transportation"
"3211",3," no country a right the ","guns,legal-issues"
"3212",1," we not away that in in carolina the of ","city-government,civil-rights,county-government,gays-and-lesbians,sexuality"
"3213",2," john is putting 23 national tax everything ","message-machine,taxes"
"3214",2," since 2009 percent all jobs in were texas ","economy,jobs"
"3215",1," says million study ","message-machine,science,stimulus"
"3216",2," its been that residents florida going a doubledigit ","florida,health-care,market-regulation"
"3217",1," for man woman is the in this they a percent rate ","education"
"3218",2," van a he the administration up world and it ","pundits,terrorism"
"3219",3," the government 30 of land the states million ","federal-budget,taxes"
"3220",2," says sanders against bailout voted the that up the industry ","congress,financial-regulation,voting-record"
"3221",4," because epa a in all for will to from ","environment,guns"
"3222",1," ken this and a justice in ","job-accomplishments,message-machine"
"3223",1," donald and clinton bernie have position health which they to the in of and doctor ","health-care"
"3224",3," the wage lower now it ronald took ","economy,history,workers"
"3225",3," in community system cuts reduced per by ","education,state-budget"
"3226",5," the are operating sports in ","job-accomplishments"
"3227",3," they mitt and it debt the plant walked with healthy leaving of of with pensions ","candidates-biography,message-machine-2012"
"3228",1," you 200000 400000 veterans the in country any day ","housing,veterans"
"3229",1," the york this story donald tax but point there no until 18 ","candidates-biography,taxes"
"3230",2," in and manufacturing ohio ranks among 50 ","energy,environment,science"
"3231",3," bush cut to 2008 election ","elections"
"3232",0," the of are in same and as and ","education"
"3233",3," because barack 32 new will healthcare ","health-care,message-machine-2012"
"3234",3," right we keep percent georgia graduates ","economy,education,jobs"
"3235",3," most for research provided the national for ","federal-budget,foreign-policy,public-health"
"3236",1," jobs lost the 12 of bans in industry ","public-health"
"3237",1," says have and are only to it ","immigration"
"3238",3," passed mandatory law mortality went saved ","health-care,medicaid"
"3239",3," the county school voted make for student a below ","education"
"3240",1," is most ","pop-culture,recreation"
"3241",3," in connie missed of worst in ","candidates-biography,debates,voting-record"
"3242",5," senator and say has talking for for least last years said ","candidates-biography"
"3243",1," president has a from business his life ","candidates-biography,pundits"
"3244",1," wendy any on ","abortion"
"3245",0," thats if even youre exactly same you be against in ","government-regulation,income,jobs,market-regulation,small-business,unions,women,workers"
"3246",5," the states experienced months unemployment 8 or ","economy,jobs"
"3247",1," the released of oil the oil ","energy"
"3248",3," of terrorists attempted guns walked with they ","guns,homeland-security"
"3249",4," if obama the climate treaty will your your and away and you any government may would any whatsoever take back ","environment,foreign-policy,legal-issues"
"3250",1," if to the administration to away of internet international to united ","foreign-policy,government-regulation,technology"
"3251",1," labor president is most at white ","ethics,pundits"
"3252",0," the has trillion ","deficit,economy,federal-budget"
"3253",5," we have that trump used a for ","history,terrorism"
"3254",2," study study shown the penalty ","crime"
"3255",3," nationwide at universities up percent in last years ","education"
"3256",2," attack a man be protected the than attack child ","gays-and-lesbians"
"3257",1," on capandtrade ","cap-and-trade,climate-change,environment"
"3258",5," first years congress opposed that up a ","civil-rights,history"
"3259",4," two ago serving of california jerry in that is separate ","elections"
"3260",0," by for sen voted kill of million ","economy,health-care,workers"
"3261",1," the oil would 20000 in united ","climate-change,energy,jobs"
"3262",4," how a of like rep to ","congress,states"
"3263",0," barack right no seven has our ","federal-budget,military"
"3264",0," says club growth to republicans that president nancy the i the in ","campaign-finance,congress,elections,campaign-advertising"
"3265",0," i for that need move a policy a policy ","foreign-policy"
"3266",5," says you on in all have is your into road cars legally ","transportation"
"3267",1," joe rates families ","energy,message-machine"
"3268",2," the the and who wisconsin scott in election dont to collective ","pundits,state-budget,abc-news-week,workers"
"3269",3," twothirds the hospitals florida our ","health-care,message-machine"
"3270",5," the of average is than of in that less health to it we more ","health-care"
"3271",2," says trump crime on ","crime,diversity,gambling"
"3272",2," barack said there no between and bush the ","iraq"
"3273",4," i in nj thousands thousands people as world ","terrorism"
"3274",2," on single in 2015 and agencies rhode reported following of veterans homeless ","housing"
"3275",2," between and couples raising ","children,civil-rights,families,gays-and-lesbians,marriage"
"3276",3," shaheen with 99 of time ","bipartisanship,voting-record"
"3277",2," says leaders accepted in contributions and the two ","state-budget"
"3278",4," says white to ","elections"
"3279",5," some who against stimulus been too to for act and jobs have they to ","economy,federal-budget,stimulus"
"3280",2," theres in ri that away government and control ","city-government,economy,government-regulation,market-regulation,states"
"3281",2," more 80 of dont to restrictions of in and ","guns"
"3282",2," the population by 8 from to but per spending the increased a 38 ","population,state-budget,state-finances"
"3283",0," without need 29 to highway ","infrastructure,transportation"
"3284",4," kagan a york radical lawyer and ","kagan-nomination,pundits,supreme-court"
"3285",5," says provided tuition illegal ","education,immigration"
"3286",4," says were reports texas for trump the 2016 primary all for rubio ","elections"
"3287",0," wendy has taken from unions the candidates ","campaign-finance,education"
"3288",1," a bill bankrupt if ","immigration"
"3289",1," says majority republicans obama a and ","candidates-biography,polls"
"3290",3," in years could close 50 gallons day a program ","environment,water"
"3291",1," the never a ","economy"
"3292",4," says michelle found that was security and they her all a that changed ","legal-issues"
"3293",2," says is in climate in ","economy,education"
"3294",4," says voted let charge victims ","legal-issues"
"3295",4," no voted recent in income payroll capital tax tax estate these were passed obamacare ","health-care,taxes"
"3296",1," trump to a building congressman the and it ","elections"
"3297",1," says abele had years hes nothing the ","environment"
"3298",1," community are by ","financial-regulation,new-hampshire-2012"
"3299",1," in york level gets twice much level ","education,jobs,labor"
"3300",2," says women fastestgrowing group texas licenses ","guns"
"3301",2," says will the a of a amount does include costs this employees and expenses a house car spending and almost day the ","education,state-finances"
"3302",2," youve more to in than obamacare ","health-care"
"3303",5," theres between turnout in fall the 11 ","elections"
"3304",2," the time held a to that countrys were cost more billion and the recovery ","bipartisanship,debt,federal-budget"
"3305",1," africa spending highest of gdp education any of world ","education"
"3306",1," recent have that benefits government by ","education,state-budget"
"3307",5," the 1 of earners 40 of state taxes those the pay or ","taxes"
"3308",2," the register which all is in and in more ","market-regulation"
"3309",2," says like all republicans us a that to between rape other ","crime"
"3310",3," if at states is popular overwhelmingly states the is popular red ","polls,sports"
"3311",3," the of men prison increased since left ","civil-rights,criminal-justice"
"3312",3," says the level spending on than are public health and combined ","education,health-care,public-safety,state-budget,taxes"
"3313",1," we more that childrens than other in union ","health-care"
"3314",3," in polls the election beat clinton more by points ","polls"
"3315",0," says us to hall her in ","job-accomplishments,new-hampshire-2012,transparency"
